name,img_url,region,dday,applicants,지원금,모집상태,collected_at
"5만원으로 기차여행하는 방법 : 철도여행X농촌투어패스 50% 할인 (안동, 영주, 문경, 김제, 익산)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2763%2F1752931449439.jpg&w=3840&q=60,전국,,60.0,"열차운임 50% 할인, 농촌관광 혜택",,2025-07-21 17:22:40
"연천, 포천 매력탐구여행을 위한 여행지원금 받기 (2025 댐잇 프로젝트 3기)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2772%2F1752738245201.jpg&w=3840&q=60,경기,,34.0,"￦500,000/지원",,2025-07-21 17:22:40
"연천, 포천 로컬여행기획공모전 (2025 댐잇 프로젝트 3기)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2773%2F1752928411138.jpg&w=3840&q=60,경기,,7.0,"￦2,000,000/지원",,2025-07-21 17:22:40
영월여행 코스짜고 여행지원금 15만원 받는 방법 - 영월관광택시 '내맘대로 코스' 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2776%2F1752767633364.jpg&w=3840&q=60,강원 영월군,,20.0,여행지원금 및 상금,,2025-07-21 17:22:40
2025년 제주 워케이션 참가자 모집 3차 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2781%2F1752926939790.jpg&w=3840&q=60,제주,,,"￦300,000/지원",,2025-07-21 17:22:40
2025 섬과 연안 생태사진 공모전 (국립호남권생물자원관),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2612%2F1750938123741.jpg&w=3840&q=60,전국,,23.0,"￦1,000,000/지원",,2025-07-21 17:22:40
전국 한국관광 100선 여름맞이 스탬프투어 이벤트,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2604%2F1751594181352.jpg&w=3840&q=60,전국,,116.0,"애슐리 식사권, 주유권, 편의점 이용권",,2025-07-21 17:22:40
2025 완도 치유 페스타 섬 스탬프 투어 (추첨제),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2777%2F1752846712656.jpg&w=3840&q=60,전남 완도군,,3.0,"￦50,000/지원",,2025-07-21 17:22:40
군민친구와 함께하는 완도해양치유센터 반값여행,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2764%2F1752734768233.jpg&w=3840&q=60,전남 완도군,,,해양 치유 프로그램 가격 할인(30~50%),,2025-07-21 17:22:40
"전남 섬 해양관광 활성화를 위한 로컬 프로젝트, 청춘어람 육성사업 5기",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2731%2F1752317212499.jpg&w=3840&q=60,전남,,1.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
"제3기 대전 중구 소셜미디어 서포터즈 모집 (대전, 세종, 충청)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2663%2F1752025825885.jpg&w=3840&q=60,대전 중구,,17.0,원고료 4~5만원 지급 (건당),,2025-07-21 17:22:40
고창 여행경비지원 '고창한밤' 8월 여행자 모집 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2780%2F1752807729214.jpg&w=3840&q=60,전북 고창군,,25.0,"￦100,000/지원",,2025-07-21 17:22:40
취하리 알베르게 : 영천에서 1박2일 진행되는 20대 연애 소셜링,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2725%2F1752237578749.jpg&w=3840&q=60,경북 영천시,,75.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
"충북 증평여행 최대 86% 할인받는 방법, 증평투어패스",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2754%2F1752771116899.jpg&w=3840&q=60,충북 증평군,,38.0,최대 86% 할인,,2025-07-21 17:22:40
일요일에 해남에서 밥먹자! 영수증 30% 리워드 받는 방법,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2767%2F1752669085831.jpg&w=3840&q=60,전남 해남군,,5.0,해남미소포인트 or 해남사랑상품권,,2025-07-21 17:22:40
2025 금천 숏폼 영상 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2758%2F1752735169359.jpg&w=3840&q=60,서울 금천구,,,"￦1,500,000/지원",,2025-07-21 17:22:40
Go! 군산 섬해진미 백패킹 1박2일 미식투어,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2774%2F1752756071153.png&w=3840&q=60,전북 군산시,,45.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
영덕 워킹데이 1편 - 농촌생활 참가자 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2680%2F1751630512419.jpg&w=3840&q=60,경북 영덕군,,102.0,"￦1,000,000/지원",,2025-07-21 17:22:40
일본 7박 8일 국제크루즈 체험단 모집 (추첨제),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2770%2F1752718444886.jpg&w=3840&q=60,해외,,279.0,크루즈 체험 기회,,2025-07-21 17:22:40
제7회 국가어항 디지털 사진 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2755%2F1752731067367.jpg&w=3840&q=60,전국,,13.0,"￦1,000,000/지원",,2025-07-21 17:22:40
하동 미션투어로 반하고 최대 10만원 돌려받기! (반하는 여행 시즌1),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2757%2F1752737326282.jpg&w=3840&q=60,경남 하동군,,26.0,"￦100,000/지원",,2025-07-21 17:22:40
상주 2박 3일 살아보기 (이안느루@상주 탐색캠프 4기 - 조기 모집종료),https://www.monthler.kr/images/icon_early_end.png,경북 상주시,,21.0,참가비 외 전액지원,,2025-07-21 17:22:40
"[유료] 곡성 ""마침표가 아니라 쉽표입니다만,"" 3박4일 워케이션 (러스틱타운, 선착순 - 조기 모집종료)",https://www.monthler.kr/images/icon_early_end.png,전남 곡성군,,15.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
완도 섬 풍류학교 : 고산 윤선도의 낙원 보길도에서 즐기는 여름방학 (선착순 - 조기 모집종료),https://www.monthler.kr/images/icon_early_end.png,전남 완도군,,21.0,전액 지원,,2025-07-21 17:22:40
숙박비는 재능으로 받겠습니다 게스트하우스 참가자 모집 (보성 청년마을),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2768%2F1752716526424.jpg&w=3840&q=60,전남 보성군,,4.0,"숙박비 무료, 식비 지원",,2025-07-21 17:22:40
"국립조선왕조실록박물관 청소년 5박6일 국제교류 <세계유산으로 맺은 우정, 미래를 꽃피우다>",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2661%2F1752026169149.jpg&w=3840&q=60,전국,,30.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
2025 경기청년 3박4일 실학캠프 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2756%2F1752683294467.jpg&w=3840&q=60,전국,,19.0,전액 지원,,2025-07-21 17:22:40
2025 여름방학은 인제에서! 청촌맛공감 2박3일 청소년 특집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2762%2F1752660467926.jpg&w=3840&q=60,강원 인제군,,4.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
안녕! 자연의 창녕에서 한 달 여행하기 2차 참가자 모집 (경남 한달살기),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2751%2F1752631643835.jpg&w=3840&q=60,경남 함양군,,112.0,"￦2,270,000/지원",,2025-07-21 17:22:40
